Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
8,1000,0,4,2667385.16,0.001865417,1,0.080588709,43.20144450275729,Random
8,1000,1,4,2687997.59,0.001918416,1,0.059728125,31.1340840568469,Random
8,1000,2,5,2660794.33,0.000966376,1,0.044115375,45.65032140698858,Random
8,1000,3,3,2666841.61,0.002753417,1,0.061526417,22.34547727423779,Random
8,1000,4,6,2618125.46,0.001055167,1,0.033860666,32.09033830663771,Random
8,1000,5,5,2639884.39,0.001013584,1,0.040513417,39.97045829452714,Random
8,1000,6,5,2651147.75,0.002402833,1,0.053143333,22.11694820239276,Random
8,1000,7,4,2668708.86,0.001596249,1,0.055045208,34.48409865879321,Random
8,1000,8,2,2652707.79,0.001129166,1,0.043737375,38.734229510984214,Random
8,1000,9,6,2637699.74,0.002247667,1,0.048111792,21.40521349470362,Random
8,1000,10,3,2657284.3,0.001275376,1,0.05122425,40.164037899411625,Random
8,1000,11,6,2644706.58,0.001024791,1,0.03917,38.22242779259381,Random
8,1000,12,6,2624090.81,0.000935542,1,0.040686916,43.49020781536264,Random
8,1000,13,5,2662444.14,0.001495083,1,0.047208042,31.575532595849193,Random
8,1000,14,3,2681146.62,0.001177791,1,0.047153625,40.0356472413187,Random
8,1000,15,6,2658808.48,0.00302425,1,0.089070708,29.452164338265685,Random
8,1000,16,6,2656636.03,0.001043333,1,0.041668375,39.937752376278716,Random
8,1000,17,5,2659285.43,0.002297917,1,0.066591833,28.979215959497232,Random
8,1000,18,4,2641028.8,0.00179175,1,0.045652084,25.479047858239152,Random
8,1000,19,3,2672974.87,0.001789708,1,0.040396708,22.571675379447374,Random
8,2500,0,3,3598792.41,0.003182333,1,0.112235375,35.26826859414147,Random
8,2500,1,3,3590290.07,0.002999708,1,0.106217708,35.409349176653194,Random
8,2500,2,0,3673673.19,0.003098416,1,0.122592125,39.56606375644845,Random
8,2500,3,2,3613263.07,0.002711459,1,0.111095042,40.972421858490215,Random
8,2500,4,0,3626574.6,0.002298792,1,0.105757625,46.005739101232294,Random
8,2500,5,3,3639787.26,0.003463749,1,0.095746417,27.64242357053008,Random
8,2500,6,6,3646221.57,0.004986166,1,0.096165959,19.286553837156642,Random
8,2500,7,4,3615487.97,0.005172333,1,0.144002208,27.840861754260597,Random
8,2500,8,0,3606444.77,0.003052125,1,0.164236666,53.81059622394233,Random
8,2500,9,5,3636686.17,0.003267667,1,0.090936666,27.82923290531134,Random
8,2500,10,6,3598615.41,0.004007209,1,0.082213833,20.51648241955935,Random
8,2500,11,5,3654527.91,0.005770583,1,0.122389666,21.209237610827188,Random
8,2500,12,3,3613823.21,0.005065333,1,0.094578708,18.671765113961904,Random
8,2500,13,6,3617968.17,0.004522876,1,0.116426625,25.741723850045855,Random
8,2500,14,0,3650144.67,0.002405999,1,0.115940834,48.18823033592284,Random
8,2500,15,5,3606739.37,0.001847125,1,0.073296208,39.68123868173513,Random
8,2500,16,6,3677924.66,0.003986667,1,0.12280175,30.80311197298395,Random
8,2500,17,4,3572558.12,0.005109042,1,0.141285459,27.654002257174632,Random
8,2500,18,6,3620745.7,0.004967667,1,0.097631041,19.653298218258186,Random
8,2500,19,3,3653498.04,0.002610458,1,0.088830542,34.02871909833447,Random
8,5000,0,6,5767449.9,0.003802501,1,0.094688334,24.901593451257476,Random
8,5000,1,6,5692299.54,0.003103251,1,0.144807667,46.663214480556036,Random
8,5000,2,5,5749137.04,0.004775959,1,0.102006167,21.35825851938846,Random
8,5000,3,0,5669224.22,0.002401417,1,0.169654209,70.64754226358855,Random
8,5000,4,3,5644395.64000001,0.004667499,1,0.128809292,27.597069008477558,Random
8,5000,5,4,5719845.42,0.004271125,1,0.156830791,36.71884831279815,Random
8,5000,6,0,5826557.2,0.003966126,1,0.11074775,27.923406871087806,Random
8,5000,7,6,5757361.48000001,0.004744792,1,0.10188475,21.472964462931145,Random
8,5000,8,0,5696979.48,0.00291375,1,0.113724458,39.030273015873014,Random
8,5000,9,2,5688301.93,0.003169957,1,0.145495875,45.89837496218403,Random
8,5000,10,3,5730668.66,0.002798208,1,0.157557042,56.306408244133394,Random
8,5000,11,4,5744523.69,0.002566875,1,0.09680225,37.712101290479666,Random
8,5000,12,6,5821821.89,0.004011,1,0.104096334,25.95271353777113,Random
8,5000,13,4,5785933.87,0.004042709,1,0.125651333,31.080973921199867,Random
8,5000,14,2,5764193.29,0.002967417,1,0.103876125,35.00557050121368,Random
8,5000,15,3,5688610.14000001,0.004659375,1,0.10060775,21.59254191817572,Random
8,5000,16,5,5712866.91,0.004367084,1,0.11305275,25.887468617503117,Random
8,5000,17,6,5749016.03,0.002830916,1,0.119808458,42.32144577938731,Random
8,5000,18,0,5812709.52,0.003114166,1,0.137037958,44.00470559372879,Random
8,5000,19,2,5639249.45,0.003380917,1,0.152397417,45.07576406046052,Random
12,500,0,0,2877306.25,0.003267959,1,0.350410792,107.22618980225884,Cluster
12,500,1,5,2886450.0,0.009431124,1,0.355297166,37.67283369405386,Cluster
12,500,2,3,2849000.0,0.004397666,1,0.186484458,42.40532546127878,Cluster
12,500,3,6,2817368.75,0.002585916,1,0.15613625,60.37947481666071,Cluster
12,500,4,6,2888856.25,0.008992208,1,0.481616167,53.55927787702419,Cluster
12,500,5,3,2829400.0,0.009730333,1,0.361497333,37.15158905661296,Cluster
12,500,6,6,2873631.25,0.008046709,1,0.671206208,83.41375436840079,Cluster
