Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
8,1000,8,2,2652707.79,0.001129166,1,2673601.2,0.7814706995194401,Random
8,1000,9,6,2637699.74,0.002247667,1,2679306.22,1.5528825965999504,Random
8,1000,10,3,2657284.3,0.001275376,1,2662929.1,0.21197710445990764,Random
8,1000,11,6,2644706.58,0.001024791,1,2671690.6,1.0099979391326233,Random
8,1000,12,6,2624090.81,0.000935542,1,2656497.96,1.219920003251194,Random
8,1000,13,5,2662444.14,0.001495083,1,2674006.27,0.4323897864308257,Random
8,1000,14,3,2681146.62,0.001177791,1,2706846.02,0.9494223095852312,Random
8,1000,15,6,2658808.48,0.00302425,1,2710613.89,1.9112058043796176,Random
8,1000,16,6,2656636.03,0.001043333,1,2682188.08,0.9526569068937283,Random
8,1000,17,5,2659285.43,0.002297917,1,2685153.37,0.9633691799139183,Random
8,1000,18,4,2641028.8,0.00179175,1,2677903.94,1.377015039605944,Random
8,1000,19,3,2672974.87,0.001789708,1,2701530.34,1.0570108940549505,Random
8,2500,0,3,3598792.41,0.003182333,1,3658867.46,1.641902874503134,Random
8,2500,1,3,3590290.07,0.002999708,1,3665428.86,2.0499317506874224,Random
8,2500,2,0,3673673.19,0.003098416,1,3711113.25,1.0088633107599196,Random
8,2500,3,2,3613263.07,0.002711459,1,3678675.55,1.7781530094438467,Random
8,2500,4,0,3626574.6,0.002298792,1,3665591.34,1.064405068132875,Random
8,2500,5,3,3639787.26,0.003463749,1,3683732.05,1.1929420870880127,Random
8,2500,6,6,3646221.57,0.004986166,1,3688629.2,1.1496853627900672,Random
8,2500,7,4,3615487.97,0.005172333,1,3683256.14,1.8398983786123524,Random
8,2500,8,0,3606444.77,0.003052125,1,3699775.65,2.5226091749644306,Random
8,2500,9,5,3636686.17,0.003267667,1,3688928.78,1.4162000167430684,Random
8,2500,10,6,3598615.41,0.004007209,1,3652180.2,1.4666524395483014,Random
8,2500,11,5,3654527.91,0.005770583,1,3696023.35,1.1227050283651465,Random
8,2500,12,3,3613823.21,0.005065333,1,3673384.32,1.621423320062516,Random
8,2500,13,6,3617968.17,0.004522876,1,3697392.27,2.1481112687023627,Random
8,2500,14,0,3650144.67,0.002405999,1,3690393.9,1.0906486161273998,Random
8,2500,15,5,3606739.37,0.001847125,1,3645498.51,1.0632054818752255,Random
8,2500,16,6,3677924.66,0.003986667,1,3711533.13,0.9055144820975837,Random
8,2500,17,4,3572558.12,0.005109042,1,3642465.79,1.9192402627891236,Random
8,2500,18,6,3620745.7,0.004967667,1,3671288.73,1.3767108423531647,Random
8,2500,19,3,3653498.04,0.002610458,1,3689527.88,0.976543372806817,Random
8,5000,0,6,5767449.9,0.003802501,1,5817005.54,0.8519097954993466,Random
8,5000,1,6,5692299.54,0.003103251,1,5756639.71,1.1176688700568327,Random
8,5000,2,5,5749137.04,0.004775959,1,5800190.84,0.880208969124192,Random
8,5000,3,0,5669224.22,0.002401417,1,5779109.22,1.9014176029017844,Random
8,5000,4,3,5644395.64000001,0.004667499,1,5769133.1,2.1621525771348513,Random
8,5000,5,4,5719845.42,0.004271125,1,5803227.44,1.4368215077229591,Random
8,5000,6,0,5826557.2,0.003966126,1,5850569.7,0.4104301158911071,Random
8,5000,7,6,5757361.48000001,0.004744792,1,5818509.3,1.050919004288436,Random
8,5000,8,0,5696979.48,0.00291375,1,5773947.42,1.3330211448305755,Random
8,5000,9,2,5688301.93,0.003169957,1,5756710.41,1.1883258862764376,Random
8,5000,10,3,5730668.66,0.002798208,1,5807285.43,1.3193215818909654,Random
8,5000,11,4,5744523.69,0.002566875,1,5860328.56,1.9760815253675672,Random
