Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
12,5000,6,Gurobi,75.961726125,7351685.03
12,5000,7,Gurobi,93.636930625,7335832.28336959
12,5000,8,Gurobi,43.114059959,7566976.85
12,5000,9,Gurobi,30.870441625,7543774.27
12,5000,10,Gurobi,68.6788385,7644546.74
12,5000,11,Gurobi,318.139801458,7470638.83
12,5000,12,Gurobi,71.076875708,7473773.76
12,5000,13,Gurobi,35.101626333,7408629.93506895
12,5000,14,Gurobi,191.8515015,7414284.70926302
12,5000,15,Gurobi,60.698264458,7432394.38447294
12,5000,16,Gurobi,94.612455833,7423634.11
12,5000,17,Gurobi,118.246408708,7364327.22
12,5000,18,Gurobi,74.7207745,7514347.37
12,5000,19,Gurobi,96.365569083,7479916.44503292
