Instance,User,Simulation,DLX+ Objective,Gurobi Objective,Gurobi Objective Relative to DLX+ (%)
8,5000,6,5840954.22,5826557.2,99.7535159589044
8,5000,7,5757361.48000001,5752453.08,99.91474566922608
8,5000,8,5714779.78,5696979.48,99.68852168088269
8,5000,9,5692639.69,5681485.33,99.80405645522244
8,5000,10,5730668.66,5698689.02,99.44195622016646
8,5000,11,5744523.69,5726067.98,99.67872514770671
8,5000,12,5826338.57,5813140.49,99.77347557404306
8,5000,13,5787234.26,5771155.87,99.72217488911535
8,5000,14,5764193.29,5750458.1,99.76171531194437
8,5000,15,5688610.14000001,5684368.77,99.92544101466567
8,5000,16,5712866.91,5704542.44,99.8542855954612
8,5000,17,5766125.81000001,5700958.63,98.8698272957036
8,5000,18,5812709.52,5812709.52,100.00000000000001
8,5000,19,5668004.38,5612887.73,99.0275827909646
12,500,0,2907931.25,2830331.25,97.33143622291621
12,500,1,2886450.0,2772262.5,96.0440160058203
12,500,2,2935100.0,2763250.0,94.1450035773909
12,500,3,2888593.75,2721775.0,94.22491480499811
12,500,4,2907756.25,2888856.25,99.35001429366716
12,500,5,2837931.25,2758275.0,97.19315786807732
12,500,6,2873631.25,2788625.0,97.04185253414126
12,500,7,2916425.0,2906800.0,99.66997265487711
12,500,8,2918912.5,2797593.75,95.84370035072993
12,500,9,2925825.0,2851975.0,97.47592559363598
12,500,10,2859325.0,2758350.0,96.46857212803721
12,500,11,2904212.5,2904212.5,100.0
12,500,12,2879231.25,2819600.0,97.92891765814225
12,500,13,2920006.25,2866850.0,98.1795843758896
12,500,14,2902331.25,2877831.25,99.15585100770286
12,500,15,2853025.0,2734112.5,95.83205544991719
12,500,16,2897081.25,2817456.25,97.25154411875745
12,500,17,2898393.75,2878487.5,99.3131971803348
12,500,18,2869431.25,2836837.5,98.8641041669843
12,500,19,2902550.0,2872581.25,98.96750271313155
12,1000,0,3450724.2,3280625.52,95.07063821559544
12,1000,1,3366422.08,3270005.01,97.13591855956457
12,1000,2,3377840.9,3126321.14,92.55383046608264
12,1000,3,3433300.08,3215890.36,93.66761672635384
12,1000,4,3465467.6,3256988.32,93.9840938059845
12,1000,5,3423327.88,3240779.24,94.66750932428944
12,1000,6,3404931.53,3129218.95,91.90255141488852
12,1000,7,3437576.38,3346751.75,97.35788765223015
12,1000,8,3440342.5,3300837.09,95.94501390486558
12,1000,9,3409060.2,3237971.49,94.98135263202451
12,1000,10,3452703.73,3422538.77,99.12633801336902
12,1000,11,3399800.95,3271864.91,96.23695498996787
