Instance,User,Simulation,B,U,num_rows,density,avg_degree,max_degree,degree_std,D_mean,D_std,D_cv,avg_row_len,max_row_len,row_density,conflict_max,conflict_avg,conflict_std,conflict_pressure,color_clique_max,color_clique_avg,color_clique_std,color_pressure,Backtracking percentiles idx
4,500,11,315,1796,1260,0.0508947528055808,15.9809523809524,51,12.4876937154571,12151.0317460317,12914.0453917409,1.06279414469955,12.831746031746,76,0.00714462473927953,12,4.51269035532995,2.24989370771118,0.2,23,9.73148148148148,5.76645227841926,5.75,6
4,500,12,301,1776,1204,0.0494352159468439,14.8305647840532,42,10.7156480114645,12912.292358804,13830.2980954693,1.0710954887913,11.8936877076412,53,0.00669689623177995,12,4.29834254143646,2.01635509287574,0.2,19,8.78369905956113,4.17789196859904,4.75,1
4,500,13,291,1484,1164,0.047493778883754,13.7731958762887,42,10.4934983843843,12647.6804123711,13410.2050960889,1.06028968623938,9.69072164948454,45,0.00653013588240198,13,4.10674157303371,1.84051151614997,0.216666666666667,20,8.49186991869919,4.97942259192093,5.0,6
4,500,14,260,1384,1040,0.046005346005346,11.9153846153846,36,9.10708482901309,12362.4038461538,12622.6542942862,1.02105176722675,8.57692307692308,40,0.00619719875500222,9,3.79166666666667,1.74865310979985,0.15,17,7.20814479638009,4.02392468386113,4.25,1
4,500,15,278,1592,1112,0.0455029478222476,12.6043165467626,38,9.63776945524534,12655.845323741,13590.5876729529,1.07385854720098,9.76618705035971,40,0.00613453960449731,9,3.88648648648649,1.66460159378562,0.15,17,7.31135531135531,3.94770522600276,4.25,6
4,500,16,265,1528,1060,0.0471126357918811,12.4377358490566,37,9.28200178505539,12574.3396226415,14071.2121495042,1.11904184011122,9.53207547169811,39,0.00623826928776054,8,3.90229885057471,1.76058225814639,0.133333333333333,16,7.18677042801556,3.81326530595502,4.0,6
4,500,17,303,1736,1212,0.0504010665967259,15.2211221122112,42,10.8195802244178,12558.3333333333,12708.2925660766,1.01194101388798,11.0924092409241,48,0.00638963665951849,10,4.37566137566138,2.06549895624365,0.166666666666667,20,8.20064724919094,4.41516944906041,5.0,5
4,500,18,254,1460,1016,0.0475553204070835,12.0314960629921,35,8.76323476739994,11865.4527559055,11225.2415618455,0.946044099013302,8.59842519685039,32,0.00588933232660986,10,3.64670658682635,1.65633548451454,0.166666666666667,17,6.5625,3.57366670941765,4.25,1
4,500,19,301,1736,1204,0.0552602436323367,16.578073089701,49,12.5125074013861,12933.3887043189,13610.9620228615,1.05238946528502,12.2225913621262,53,0.00704066322703125,11,4.54545454545455,2.09450980361816,0.183333333333333,21,9.15533980582524,4.98429367720079,5.25,3
4,1000,0,500,3752,2000,0.0637755511022044,31.824,86,21.9858368956017,24628.4,21989.3650645046,0.892845863495177,27.706,127,0.00738432835820896,16,6.30835734870317,3.88969145398091,0.266666666666667,37,16.953488372093,8.70382430881404,9.25,6
