Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
12,500,15,3.0,2854775.0,0.071493292
12,500,16,6.0,2911081.25,0.053803041
12,500,17,6.0,2938425.0,0.091834041
12,500,18,6.0,2947175.0,0.060427458
12,500,19,5.0,2933175.0,0.075561291
12,1000,0,6.0,3410948.52,0.104415292
12,1000,1,6.0,3411216.76,0.126681875
12,1000,2,5.0,3446793.77,0.098223959
12,1000,3,6.0,3442207.16,0.117995251
12,1000,4,,3512495.0,0.07159025
12,1000,5,6.0,3433160.57,0.098851624
12,1000,6,6.0,3495034.41,0.142576209
12,1000,7,6.0,3437576.38,0.138411542
12,1000,8,6.0,3441500.3,0.143249666
12,1000,9,3.0,3409060.2,0.140633792
12,1000,10,6.0,3459703.73,0.132712167
12,1000,11,6.0,3327415.63,0.144175834
12,1000,12,5.0,3415734.0,0.105542209
12,1000,13,4.0,3490021.64,0.10379625
12,1000,14,6.0,3495018.8,0.098795126
12,1000,15,4.0,3505905.48,0.1086355
12,1000,16,4.0,3457938.33,0.131331875
12,1000,17,6.0,3483573.45,0.101833916
12,1000,18,6.0,3436353.41,0.117522625
12,1000,19,6.0,3377255.56,0.114825792
12,2500,0,6.0,5162791.76,0.121439416
12,2500,1,6.0,5130757.0,0.090232917
12,2500,2,6.0,5009260.9,0.116686208
12,2500,3,6.0,5076164.45,0.103782209
12,2500,4,5.0,4853525.67,0.096933084
12,2500,5,6.0,4964598.77,0.142073583
12,2500,6,6.0,4993262.75,0.12547525
12,2500,7,4.0,5205189.96,0.093735666
12,2500,8,3.0,4910548.44,0.124586791
12,2500,9,6.0,5064782.28,0.096315875
12,2500,10,5.0,4970248.85,0.09487975
12,2500,11,6.0,5029005.54,0.093307792
12,2500,12,5.0,5134494.68,0.111471625
12,2500,13,6.0,5033409.01,0.11515725
12,2500,14,5.0,5057976.28,0.12633775
12,2500,15,6.0,5151250.04,0.124195083
12,2500,16,6.0,4915031.31,0.123742583
12,2500,17,6.0,4776114.49,0.1259955
12,2500,18,6.0,4734725.77,0.114395459
12,2500,19,5.0,4828584.39,0.11716725
12,5000,0,6.0,6965443.89,0.223194708
12,5000,1,6.0,6922943.73,0.191402167
12,5000,2,6.0,6667414.15,0.177460666
12,5000,3,6.0,7091656.19,0.168278833
12,5000,4,6.0,6798218.83,0.168502666
12,5000,5,6.0,6768566.06,0.202967541
12,5000,6,6.0,6497608.33,0.169773709
12,5000,7,6.0,6703922.76,0.17803725
12,5000,8,6.0,7098171.73,0.171478333
12,5000,9,6.0,6689503.6,0.174984
12,5000,10,5.0,6980082.1,0.212438251
12,5000,11,4.0,6712703.66,0.211403999
12,5000,12,6.0,6733197.95,0.21125525
12,5000,13,4.0,6786055.81,0.171277875
12,5000,14,6.0,6743102.77,0.222688042
12,5000,15,5.0,6823216.77,0.200848625
12,5000,16,6.0,7147660.72,0.181419542
12,5000,17,6.0,6858499.52,0.200919542
12,5000,18,5.0,7017792.92,0.145419333
12,5000,19,6.0,6792790.83,0.182914667
