,Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
143,8,5000,3,6,5628645.850000001,0.11591225000000804
144,8,5000,4,4,5652269.710000001,0.11664058300002011
145,8,5000,5,0,5694333.360000001,0.08369637499998817
146,8,5000,6,6,5824451.600000001,0.12134633299999109
147,8,5000,7,6,5681135.680000001,0.10733495900001344
148,8,5000,8,6,5685632.180000002,0.11091045800000643
149,8,5000,9,6,5676823.610000001,0.11843150000001401
150,8,5000,10,0,5672631.449999999,0.09737037499999701
151,8,5000,11,0,5673786.680000001,0.0966231259999688
152,8,5000,12,6,5815719.010000001,0.099021209
153,8,5000,13,2,5745277.170000003,0.11359966599999893
154,8,5000,14,5,5736638.280000001,0.12011654199997679
155,8,5000,15,6,5662766.77,0.10769554199998765
156,8,5000,16,0,5674434.879999998,0.10219870900002093
157,8,5000,17,4,5735487.0200000005,0.1183214170000042
158,8,5000,18,0,5766917.950000001,0.09370404099999519
159,8,5000,19,0,5620934.790000002,0.11247908400000028
160,12,500,0,2,2900931.25,0.2360674169999868
161,12,500,1,0,2809012.5,0.3522471670000016
162,12,500,2,6,2850400.0,0.24696283400004404
163,12,500,3,6,2797462.5000000005,0.13830433299997935
164,12,500,4,6,2890256.25,0.43832504299996344
165,12,500,5,4,2813125.0,0.4038321660000008
166,12,500,6,6,2809187.5,0.5363656249999735
167,12,500,7,5,2905750.0,0.28075883300002147
168,12,500,8,5,2858318.75,0.4157042499999761
169,12,500,9,6,2903950.0,0.30499383400001534
170,12,500,10,6,2843575.0,0.2601190420000137
171,12,500,11,6,2903162.5,0.31040804200000593
172,12,500,12,6,2863700.0,0.2983677919999934
173,12,500,13,6,2920400.0,0.46002204099994515
174,12,500,14,6,2877831.25,0.5218461659999889
175,12,500,15,6,2786787.5,0.28767158299996254
176,12,500,16,6,2815925.0,0.19868970799996077
177,12,500,17,6,2871487.5,0.48076479200005906
178,12,500,18,5,2836837.5,0.3881167079999841
179,12,500,19,6,2871006.25,0.40258616700003813
180,12,1000,0,6,3397045.0000000005,0.5183330840000622
181,12,1000,1,6,3316669.9299999997,0.6230449580000368
182,12,1000,2,6,3286190.7400000007,0.6481411249999951
183,12,1000,3,6,3420021.92,0.5214467910000167
184,12,1000,4,6,3465467.5999999996,0.5335085829999571
185,12,1000,5,6,3368116.3599999985,0.560602584000037
186,12,1000,6,6,3301920.510000001,0.6901412910000317
187,12,1000,7,6,3360491.0699999994,0.604416874999913
188,12,1000,8,6,3419930.8500000006,0.8395290830000022
189,12,1000,9,6,3391431.819999999,0.6708987509999815
190,12,1000,10,6,3428036.22,0.6344693750000374
191,12,1000,11,6,3334242.5899999994,0.560360959000036
192,12,1000,12,6,3296649.3700000015,0.5837315419999527
193,12,1000,13,3,3402974.469999999,0.64961541699995
194,12,1000,14,5,3446855.9299999997,0.6816558330000362
195,12,1000,15,6,3412901.940000001,0.5405468340000539
196,12,1000,16,6,3401550.8100000015,0.5345606659999476
197,12,1000,17,6,3423796.7399999998,0.506503582999926
198,12,1000,18,4,3368833.41,0.5881337920000078
199,12,1000,19,6,3329958.730000001,0.5407420829999978
200,12,2500,0,0,5021029.580000003,0.4393431240000041
201,12,2500,1,6,4794103.180000001,0.37361695799995687
202,12,2500,2,6,5009260.8999999985,0.5186577489999991
203,12,2500,3,6,4903946.41,0.4859083759999976
204,12,2500,4,6,4800772.55,0.48418724999999085
205,12,2500,5,5,4879957.919999999,0.5080681249999657
206,12,2500,6,0,4778210.779999999,0.5929356659999598
207,12,2500,7,6,4770256.09,0.4611056659999804
208,12,2500,8,6,4627888.6499999985,0.475314208000043
209,12,2500,9,6,4992125.710000002,0.4050156659999402
210,12,2500,10,6,4598727.11,0.41371025100005454
211,12,2500,11,2,4908379.02,0.5130735000000186
212,12,2500,12,6,4915012.010000002,0.44061908399999083
213,12,2500,13,5,4939561.410000001,0.43964483400003473
214,12,2500,14,6,5015888.68,0.5664479989999904
215,12,2500,15,6,4904623.940000002,0.5556848329999298
216,12,2500,16,6,4842359.480000002,0.46307504200001404
217,12,2500,17,6,4618702.01,0.4693757910000045
218,12,2500,18,6,4881353.440000001,0.5011867920000554
219,12,2500,19,6,4766046.319999998,0.48882416699996156
220,12,5000,0,6,6823846.490000001,0.8630512500000123
221,12,5000,1,6,6734708.619999999,0.7383072509999806
222,12,5000,2,6,6586457.56,0.6956768759999363
223,12,5000,3,6,6721137.840000001,0.685059874999979
224,12,5000,4,6,6528976.8100000005,0.8229595000000245
225,12,5000,5,6,6599066.710000001,0.7876300419999325
226,12,5000,6,2,6320130.329999998,0.6582149170000662
227,12,5000,7,6,6446730.72,0.637626583000042
228,12,5000,8,6,6847377.050000002,0.7300129589999642
229,12,5000,9,6,6578040.25,0.8166945839999471
230,12,5000,10,2,6632178.95,0.7447122089999993
231,12,5000,11,6,6653638.820000003,0.8501094169999988
232,12,5000,12,6,6627750.960000002,0.9618819589999248
233,12,5000,13,4,6591235.500000003,0.8106607070000109
234,12,5000,14,6,6693410.820000001,0.7707419170000094
235,12,5000,15,3,6645114.930000001,0.7703559159999713
236,12,5000,16,6,6821774.160000002,0.7836497920001193
237,12,5000,17,6,6857746.6,0.8732464999999365
238,12,5000,18,5,6632015.199999999,0.7315444579999166
239,12,5000,19,6,6556616.630000001,0.8264927500000567
